"month","delivered_orders","delayed_orders","delay_rate"
"2019-01",6065,605,9.00
"2019-02",6163,578,9.00
"2019-03",6435,660,10.00
"2019-04",6067,606,9.00
"2019-05",10329,1017,9.00
"2019-06",6439,638,9.00
"2019-07",10098,977,9.00
"2019-08",10473,1071,10.00
"2019-09",6276,636,10.00
"2019-10",6022,623,10.00
"2019-11",16535,1651,9.00
"2019-12",16257,1605,9.00
"2020-01",2420,236,9.00
"2020-02",2476,248,10.00
"2020-03",2540,250,9.00
"2020-04",2489,253,10.00
"2020-05",4355,471,10.00
"2020-06",2475,264,10.00
"2020-07",4299,410,9.00
"2020-08",4254,422,9.00
"2020-09",2492,249,9.00
"2020-10",2526,221,8.00
"2020-11",6521,602,9.00
"2020-12",6104,586,9.00
"2021-01",2701,249,9.00
"2021-02",2506,253,10.00
"2021-03",2437,268,10.00
"2021-04",2548,280,10.00
"2021-05",4274,450,10.00
"2021-06",2511,240,9.00
"2021-07",4215,392,9.00
"2021-08",4177,431,10.00
"2021-09",2330,243,10.00
"2021-10",2471,261,10.00
"2021-11",6469,625,9.00
"2021-12",6404,652,10.00
"2022-01",6364,638,10.00
"2022-02",6192,613,9.00
"2022-03",5956,565,9.00
"2022-04",6530,597,9.00
"2022-05",10544,1081,10.00
"2022-06",6151,637,10.00
"2022-07",10777,1098,10.00
"2022-08",10027,1059,10.00
"2022-09",6227,658,10.00
"2022-10",6384,675,10.00
"2022-11",15770,1546,9.00
"2022-12",16580,1679,10.00
"2023-01",9343,935,10.00
"2023-02",9510,980,10.00
"2023-03",9181,926,10.00
"2023-04",9641,966,10.00
"2023-05",15032,1441,9.00
"2023-06",9364,915,9.00
"2023-07",16117,1693,10.00
"2023-08",15085,1501,9.00
"2023-09",9442,914,9.00
"2023-10",9484,944,9.00
"2023-11",23723,2423,10.00
"2023-12",25167,2437,9.00
"2024-01",12188,1167,9.00
"2024-02",12620,1234,9.00
"2024-03",12883,1321,10.00
"2024-04",12110,1241,10.00
"2024-05",20643,2019,9.00
"2024-06",12597,1265,10.00
"2024-07",20172,2055,10.00
"2024-08",21115,2096,9.00
"2024-09",12569,1284,10.00
"2024-10",11950,1159,9.00
"2024-11",33008,3350,10.00
"2024-12",32510,3127,9.00
"2025-01",15213,1539,10.00
"2025-02",15751,1505,9.00
"2025-03",15959,1595,9.00
"2025-04",15047,1496,9.00
"2025-05",26137,2608,9.00
"2025-06",15657,1612,10.00
"2025-07",25203,2554,10.00
"2025-08",26421,2670,10.00
"2025-09",15188,1508,9.00
"2025-10",15453,1517,9.00
"2025-11",42228,4200,9.00
"2025-12",29382,1778,6.00
