"product_id","product_category_name","product_name","product_brand","product_weight_g","product_length_cm","product_height_cm","product_width_cm","cost","price"
cdc4381f-fa67-41f2-a7d5-07f330097589,books,When successful medical beat,Vertex,661,18,19,9,22.45,42.42
"1f0d68f8-18d7-47c6-8c73-ffd89a2a960a",auto,Pulse Seat Cover Kit (M231),Pulse,9662,52,12,25,124.84,148.16
f68621b0-8316-4cc4-9ba6-af209132acd6,electronics,Nova M247 Headphones,Nova,4287,12,18,15,704.26,843.43
"9c065d67-038d-4dca-b60e-09f0dd3616b4",home_goods,Crest Vacuum - Modern,Crest,949,42,6,22,25.27,52.56
"7c1b1caa-713e-4b45-82e3-3bdeb31b20c9",furniture,Nimbus Chair - Minimal,Nimbus,37558,124,11,8,458.03,767.55
"87db0595-9fb0-43a3-8e3a-c9e0857ed723",auto,Vertex Seat Cover P598,Vertex,18647,78,26,20,265.21,327.35
"454fb0ff-aad3-4a2a-bf57-2d9e21965e57",home_goods,Nova Knife Set Set,Nova,2007,57,17,22,93.46,185.19
b3f39816-6be7-4f4c-b1c2-bf427cf3a304,fashion,Zenith Cozy Jacket,Zenith,737,20,6,24,41.19,122.43
d0ff9907-4adb-4b14-b12f-f5a2fd1999d8,fashion,Apex Hoodie (White),Apex,854,42,22,15,104.68,289.34
fe331146-714a-4676-8eda-6412d42af6cf,furniture,Vertex Steel Coffee Table,Vertex,37820,98,7,21,437.61,637.02
"61132e9a-8861-4552-86a6-2d96e90d55d9",home_goods,Apex Lamp Set,Apex,1457,56,19,14,8.8,18.62
"736da727-d639-4010-9322-6a6bd1537dba",furniture,Apex Fabric Bookshelf,Apex,23230,194,11,26,421.13,774.27
"12a370fa-674c-454d-a34c-e41da6a48c53",fashion,Zenith Dress (White),Zenith,783,55,21,14,76.33,235.99
"0587bc5e-8994-41ce-8176-f66bb22e13bd",books,Fight threat trouble ready something,Orion,618,23,16,13,25.35,36.58
"24001593-acd6-4b55-a64a-dc471c45cc36",furniture,Orion Sofa - Cozy,Orion,28658,149,15,11,396.36,777.45
f917dfd5-0f20-426f-ab38-ec2f5192890a,furniture,Vertex Leather Coffee Table,Vertex,20447,77,20,17,67.41,124.57
"9843a7ee-f0b5-4d25-b2c8-3f62ce074a45",electronics,Apex Headphones P869,Apex,511,31,19,14,1285.32,1446.99
"9ece5be4-3d25-47e3-b061-c38b1a4816c7",auto,Nova Tool Set Kit (X985),Nova,17601,44,7,25,307.07,372.74
"89680b92-20e9-4234-a828-e8538ab5aa61",electronics,Vertex Monitor S732,Vertex,2631,37,14,21,213.24,275.18
"049fda2c-d6e7-4de0-b19c-4db02e3732f9",toys,Crest RC Car Toy,Crest,677,20,13,13,37.13,67.81
f37edad2-8157-44a6-b86d-432bc3729904,electronics,Pulse Headphones S159,Pulse,2862,43,24,10,122.24,139.6
"43f8f3ed-56e1-404a-8e80-2687466256cb",furniture,Nova Sofa - Minimal,Nova,24993,193,20,12,327.23,662.23
"47a0caf3-ede4-4a4c-b0f2-2d63fdabe37d",home_goods,Pulse Knife Set - Industrial,Pulse,1865,49,29,16,35.53,65.04
e5cac4e0-9506-4675-a25c-f1b8a2a90927,furniture,Zenith Coffee Table - Cozy,Zenith,23428,84,17,17,407.18,732.74
fbab7c45-f7ab-4618-9aa9-d0bf4d2ecbde,furniture,Vertex Desk - Industrial,Vertex,24774,128,10,23,559.55,993.4
d2b0b0d9-89a6-48db-9ba5-4bb98d606440,books,Some agent,Pulse,601,18,9,21,16.98,32.87
e4bbcaf1-0e98-43da-9167-82e0fe6481e9,electronics,Orion Camera X466,Orion,483,45,18,8,1286.4,1616.18
bf68fb88-3490-4fb0-82c9-bb3c71ef05f1,toys,Zenith RC Car (White),Zenith,562,22,12,15,5.7,13.47
c8788802-196f-49ff-af47-a08d81856d4a,electronics,Nimbus Tablet P328,Nimbus,3703,31,10,13,1097.66,1236.0
e9bd861f-bd42-44e4-8ff2-7cd6e2d5be60,fashion,Vertex Classic Jacket,Vertex,119,36,25,7,79.42,273.64
